candidate_id,Category,match_score,matching_skills,skill_gap
Candidate_930,AGRICULTURE,0.2556,"agile, aws, matplotlib, pandas, python, r, sql","communication, data analysis, deep learning, excel, gcp, git, machine learning, nlp, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1219,CONSULTANT,0.2354,"agile, data analysis, machine learning, python, r, sql","aws, communication, deep learning, excel, gcp, git, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1763,ENGINEERING,0.2313,"data analysis, excel, machine learning, pandas, python, r, sql","agile, aws, communication, deep learning, gcp, git, matplotlib, nlp, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1340,AUTOMOBILE,0.1842,"data analysis, excel, matplotlib, pandas, python, r, sql","agile, aws, communication, deep learning, gcp, git, machine learning, nlp, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_298,INFORMATION-TECHNOLOGY,0.1837,"agile, aws, communication, excel, git, r, sql","data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_332,INFORMATION-TECHNOLOGY,0.1743,"aws, data analysis, excel, python, r, sql","agile, communication, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2221,BANKING,0.1639,"agile, data analysis, r, sql","aws, communication, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1092,SALES,0.1629,"agile, communication, excel, r, sql","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_299,INFORMATION-TECHNOLOGY,0.1597,"aws, communication, python, r","agile, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2200,BANKING,0.1555,"agile, aws, communication, deep learning, excel, git, nlp, r, sql","data analysis, gcp, machine learning, matplotlib, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1349,AUTOMOBILE,0.1518,"data analysis, excel, machine learning, python, r, sql","agile, aws, communication, deep learning, gcp, git, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1324,AUTOMOBILE,0.1513,"excel, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2154,BANKING,0.1488,"machine learning, python, r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1143,CONSULTANT,0.1479,"agile, communication, excel, r, sql","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1304,DIGITAL-MEDIA,0.1435,"excel, git, python, r, sql","agile, aws, communication, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_927,AGRICULTURE,0.1404,"agile, communication, excel, pandas, python, r, scikit-learn, sql, tensorflow","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pytorch, seaborn"
Candidate_54,HR,0.1395,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2185,BANKING,0.1354,"communication, data analysis, r, sql","agile, aws, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_310,INFORMATION-TECHNOLOGY,0.1342,"agile, excel, git, r, sql","aws, communication, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_264,INFORMATION-TECHNOLOGY,0.1316,"aws, communication, excel, r, sql","agile, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_312,INFORMATION-TECHNOLOGY,0.1308,"agile, excel, git, r, sql","aws, communication, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_336,INFORMATION-TECHNOLOGY,0.1297,"excel, r, sql","agile, aws, communication, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1112,CONSULTANT,0.1241,"agile, excel, git, r, sql","aws, communication, data analysis, deep learning, gcp, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1738,ENGINEERING,0.1239,"communication, excel, r","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1751,ENGINEERING,0.1217,"agile, communication, git, python, r, sql","aws, data analysis, deep learning, excel, gcp, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_281,INFORMATION-TECHNOLOGY,0.1185,"r, sql","agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_1041,SALES,0.1165,"communication, data analysis, excel, machine learning, r","agile, aws, deep learning, gcp, git, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_2191,BANKING,0.1159,"agile, communication, excel, r, sql","aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, tensorflow"
Candidate_2292,ARTS,0.1141,r,"agile, aws, communication, data analysis, deep learning, excel, gcp, git, machine learning, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql, tensorflow"
Candidate_1708,ENGINEERING,0.1128,"agile, git, machine learning, r, tensorflow","aws, communication, data analysis, deep learning, excel, gcp, matplotlib, nlp, pandas, python, pytorch, scikit-learn, seaborn, sql"
Candidate_316,INFORMATION-TECHNOLOGY,0.1111,"communication, excel, python, r, sql","agile, aws, data analysis, deep learning, gcp, git, machine learning, matplotlib, nlp, pandas, pytorch, scikit-learn, seaborn, tensorflow"
